,Andhra Pradesh,Haryana,Jharkhand,Punjab,Rajasthan,Madhya Pradesh,West Bengal,Gujarat,NCT of Delhi,Maharashtra,Orissa,Uttar Pradesh
"('Apple', 'Delicious')",,,,,,,,,,,,0.89872668048563809
"('Banana', 'Medium')",,,,,,,0.79123482380811372,,,,,
"('Onion', 'Red')",,,,,,0.71068996150429375,,,,,,0.9147172046194848
"('Potato', 'Desi')",,,,,,,,,,,,0.77879774948178859
"('Potato', 'Jyoti')",,,,,,,0.88865857269766069,,,,,
"('Potato', 'Potato')",,,,,,,,0.83239561741190404,0.7145395321291087,,,
"('Rice', 'B P T')",0.76103050044418119,,,,,,,,,,,
"('Rice', 'Coarse')",,,0.70595202842759841,,,,,,,,,0.83032277169084989
"('Rice', 'Fine')",,,0.70595202842759841,,,,0.79449215279834173,,,,,
"('Rice', 'III')",,,,,,,,,,,,0.77405981640509325
"('Rice', 'Medium')",,,0.70595202842759841,,,,,,,,,
"('Rice', 'Ratnachudi (718 5-749)')",,,,,,,0.94018359490672199,,,,,
"('Wheat', 'Dara')",,,,,,,,,0.81818181818181823,,,0.782943440923897
"('Wheat', 'Lokwan')",,,,,,,,0.74444773467574765,,,,
"('Wheat', 'Rajasthan Tukdi')",,,,,,,,0.71572401539828245,,,,
